Vrus taxid	Host tax id	Evidence
1118064	1428	Literature
1194641	1428	RefSeq
1357713	1428	RefSeq
1486657	1428	RefSeq
1527469	1428	RefSeq
1643324	1428	RefSeq
1643326	1428	RefSeq
1690456	1428	Literature
1837830	1428	RefSeq
1852564	1428	RefSeq
1873998	1428	RefSeq
1873999	1428	RefSeq
1874000	1428	RefSeq
1874001	1428	RefSeq
236750	1428	RefSeq
307240	1428	RefSeq
458639	1428	RefSeq
552525	1428	RefSeq
10876	2148	RefSeq
46014	2148	Literature
1416008	85698	RefSeq
1416009	85698	RefSeq
1589746	85698	Literature
1589747	85698	Literature
1589748	85698	RefSeq
1664246	85698	RefSeq
1664247	85698	RefSeq
235266	563177	UniProt
1049283	470	RefSeq
1187128	470	RefSeq
1221835	470	RefSeq
1235824	470	RefSeq
1243183	470	RefSeq
1406779	470	RefSeq
1458669	470	RefSeq
1481186	470	RefSeq
1481187	470	RefSeq
1505225	470	RefSeq
1560342	470	RefSeq
1605379	470	RefSeq
1647373	470	RefSeq
1698439	470	RefSeq
1701807	470	RefSeq
1701808	470	RefSeq
1735582	470	RefSeq
1792222	470	RefSeq
691318	470	RefSeq
889876	470	RefSeq
279006	40214	Literature
760732	40214	Literature
760939	40214	Literature
1229760	487316	RefSeq
1204516	644	RefSeq
1505227	644	RefSeq
227470	644	RefSeq
1127514	645	RefSeq
115987	645	RefSeq
1198013	645	RefSeq
233894	645	RefSeq
321023	645	RefSeq
879628	645	RefSeq
879630	645	RefSeq
926067	645	Literature
230158	714	RefSeq
467481	192	RefSeq
1308863	1392	RefSeq
345922	1392	RefSeq
347966	1392	RefSeq
359961	1392	RefSeq
513550	1392	RefSeq
663237	1392	RefSeq
1118064	1396	Literature
1126949	1396	RefSeq
1126950	1396	RefSeq
1126951	1396	RefSeq
1129192	1396	RefSeq
1136534	1396	RefSeq
1136731	1396	RefSeq
1141133	1396	RefSeq
1161901	1396	RefSeq
1195072	1396	RefSeq
1277886	1396	Literature
1296655	1396	Literature
1296656	1396	Literature
