Vrus taxid	Virus name	Virus refseq 	Host tax id	Host name	Host refseq id	pmid	Evidence	Based on
1118064	Bacillus phage BceA1	HE614282	1428	Bacillus thuringiensis	NC_005957.1	22815791	Literature	database
1194641	Bacillus phage BtCS33	NC_018085	1428	Bacillus thuringiensis	NC_005957.1		RefSeq	database
1357713	Bacillus phage phiCM3	NC_023599	1428	Bacillus thuringiensis	NC_005957.1		RefSeq	database
1486657	Bacillus phage CAM003	NC_024216	1428	Bacillus thuringiensis	NC_005957.1		RefSeq	database
1527469	Bacillus phage Bobb	NC_024792	1428	Bacillus thuringiensis	NC_005957.1		RefSeq	database
1643324	Bacillus phage phi4B1	NC_028886	1428	Bacillus thuringiensis	NC_005957.1		RefSeq	database
1643326	Bacillus phage phi4J1	NC_029008	1428	Bacillus thuringiensis	NC_005957.1		RefSeq	database
1690456	Bacillus phage TsarBomba	NC_028890	1428	Bacillus thuringiensis	NC_005957.1	26472830	Literature	database
1837830	Bacillus phage SalinJah	NC_031034	1428	Bacillus thuringiensis	NC_005957.1		RefSeq	database
1852564	Bacillus phage Belinda	NC_031024	1428	Bacillus thuringiensis	NC_005957.1		RefSeq	database
1873998	Bacillus phage Kida	NC_031012	1428	Bacillus thuringiensis	NC_005957.1		RefSeq	database
1873999	Bacillus phage DirtyBetty	NC_031054	1428	Bacillus thuringiensis	NC_005957.1		RefSeq	database
1874000	Bacillus phage Aurora	NC_031121	1428	Bacillus thuringiensis	NC_005957.1		RefSeq	database
1874001	Bacillus phage Claudi	NC_031015	1428	Bacillus thuringiensis	NC_005957.1		RefSeq	database
236750	Bacillus phage Bam35c	NC_005258	1428	Bacillus thuringiensis	NC_005957.1		RefSeq	database
307240	Bacillus phage GIL16c	NC_006945	1428	Bacillus thuringiensis	NC_005957.1		RefSeq	database
458639	Bacillus phage 0305phi8-36	NC_009760	1428	Bacillus thuringiensis	NC_005957.1		RefSeq	database
552525	Bacillus virus IEBH	NC_011167	1428	Bacillus thuringiensis	NC_005957.1		RefSeq	database
10876	Acholeplasma phage MV-L1	NC_001341	2148	Acholeplasma laidlawii	NC_010163.1		RefSeq	database
46014	Acholeplasma phage L2	NC_001447	2148	Acholeplasma laidlawii	NC_010163.1	8163159	Literature	database
1416008	Achromobacter phage JWDelta	KF787094	85698	Achromobacter xylosoxidans	NZ_LN831029.1		RefSeq	database
1416009	Achromobacter phage JWAlpha	NC_023556	85698	Achromobacter xylosoxidans	NZ_LN831029.1		RefSeq	database
1589746	Achromobacter phage JWX	NC_028768	85698	Achromobacter xylosoxidans	NZ_LN831029.1	24466294	Literature	database
1589747	Achromobacter phage 83-24	NC_028834	85698	Achromobacter xylosoxidans	NZ_LN831029.1	24466294	Literature	database
1589748	Achromobacter phage JWF	NC_029075	85698	Achromobacter xylosoxidans	NZ_LN831029.1		RefSeq	database
1610509	Achromobacter phage phiAxp-1	NC_029033	85698	Achromobacter xylosoxidans	NZ_LN831029.1	26908262	"Literature, RefSeq"	database
1664246	Achromobacter phage phiAxp-2	NC_029106	85698	Achromobacter xylosoxidans	NZ_LN831029.1		RefSeq	database
1664247	Achromobacter phage phiAxp-3	NC_028908	85698	Achromobacter xylosoxidans	NZ_LN831029.1		RefSeq	database
