Contigs id(VIRUS)	Sequence location	Host taxid	Host name	Refseq  host	sequence location	pmid	evidence
Clostridia_gi_223956448_2418564_2449606	26200428.fasta	483218	[Bacteroides] pectinophilus ATCC 43243			26200428	VirSorter
Alphaproteobacteria_gi_483831584	26200428.fasta	940282	Acetobacter pasteurianus 3P3			26200428	VirSorter
Alphaproteobacteria_gi_483832087	26200428.fasta	940282	Acetobacter pasteurianus 3P3			26200428	VirSorter
Alphaproteobacteria_gi_421853582	26200428.fasta	940265	Acetobacter pasteurianus subsp. pasteurianus LMG 1262 = NBRC 106471			26200428	VirSorter
Alphaproteobacteria_gi_329113603	26200428.fasta	945681	Acetobacter pomorum DM001			26200428	VirSorter
Alphaproteobacteria_gi_329115469	26200428.fasta	945681	Acetobacter pomorum DM001			26200428	VirSorter
Alphaproteobacteria_gi_547459329	26200428.fasta	1262684	Acetobacter sp. CAG:267			26200428	VirSorter
Alphaproteobacteria_gi_339021592	26200428.fasta	749388	Acetobacter tropicalis NBRC 101654			26200428	VirSorter
Alphaproteobacteria_gi_339021902	26200428.fasta	749388	Acetobacter tropicalis NBRC 101654			26200428	VirSorter
Alphaproteobacteria_gi_339021999	26200428.fasta	749388	Acetobacter tropicalis NBRC 101654			26200428	VirSorter
Alphaproteobacteria_gi_339022256	26200428.fasta	749388	Acetobacter tropicalis NBRC 101654			26200428	VirSorter
Alphaproteobacteria_gi_339022435	26200428.fasta	749388	Acetobacter tropicalis NBRC 101654			26200428	VirSorter
Alphaproteobacteria_gi_374088007	26200428.fasta	1054213	Acetobacteraceae bacterium AT-5844			26200428	VirSorter
Mollicutes_gi_162446888_614609_648901	26200428.fasta	441768	Acholeplasma laidlawii PG-8A			26200428	VirSorter
Betaproteobacteria_gi_421483435	26200428.fasta	1156919	Achromobacter piechaudii HLE			26200428	VirSorter
Betaproteobacteria_gi_421485108	26200428.fasta	1156919	Achromobacter piechaudii HLE			26200428	VirSorter
Betaproteobacteria_gi_421486561	26200428.fasta	1156919	Achromobacter piechaudii HLE			26200428	VirSorter
Negativicutes_gi_547818715	26200428.fasta	1263033	Acidaminococcus intestini CAG:325			26200428	VirSorter
Betaproteobacteria_gi_120608714_2556822_2610901	26200428.fasta	397945	Acidovorax citrulli AAC00-1			26200428	VirSorter
Betaproteobacteria_gi_120608714_2613045_2631508	26200428.fasta	397945	Acidovorax citrulli AAC00-1			26200428	VirSorter
Betaproteobacteria_gi_241763567_0_44634	26200428.fasta	573060	Acidovorax delafieldii 2AN			26200428	VirSorter
Betaproteobacteria_gi_241764055_7507_15116	26200428.fasta	573060	Acidovorax delafieldii 2AN			26200428	VirSorter
Betaproteobacteria_gi_395009488_0_32631	26200428.fasta	1144317	Acidovorax sp. CF316			26200428	VirSorter
Gammaproteobacteria_gi_544905836	26200428.fasta	1351817	Acinetobacter baumannii 1605			26200428	VirSorter
Gammaproteobacteria_gi_384129960_1467048_1503647	26200428.fasta	696749	Acinetobacter baumannii 1656-2			26200428	VirSorter
Gammaproteobacteria_gi_452305578	26200428.fasta	886889	Acinetobacter baumannii 3909			26200428	VirSorter
Gammaproteobacteria_gi_452305893	26200428.fasta	886889	Acinetobacter baumannii 3909			26200428	VirSorter
Gammaproteobacteria_gi_452305926	26200428.fasta	886889	Acinetobacter baumannii 3909			26200428	VirSorter
Gammaproteobacteria_gi_452305980	26200428.fasta	886889	Acinetobacter baumannii 3909			26200428	VirSorter
Gammaproteobacteria_gi_452306288	26200428.fasta	886889	Acinetobacter baumannii 3909			26200428	VirSorter
Gammaproteobacteria_gi_452304327	26200428.fasta	886888	Acinetobacter baumannii 3990			26200428	VirSorter
Gammaproteobacteria_gi_452304334	26200428.fasta	886888	Acinetobacter baumannii 3990			26200428	VirSorter
Gammaproteobacteria_gi_452304370	26200428.fasta	886888	Acinetobacter baumannii 3990			26200428	VirSorter
Gammaproteobacteria_gi_452304626	26200428.fasta	886888	Acinetobacter baumannii 3990			26200428	VirSorter
Gammaproteobacteria_gi_452311496	26200428.fasta	886890	Acinetobacter baumannii 4190			26200428	VirSorter
Gammaproteobacteria_gi_452311739	26200428.fasta	886890	Acinetobacter baumannii 4190			26200428	VirSorter
Gammaproteobacteria_gi_452312103_0_28100	26200428.fasta	886890	Acinetobacter baumannii 4190			26200428	VirSorter
Gammaproteobacteria_gi_452313998_2644_39699	26200428.fasta	886890	Acinetobacter baumannii 4190			26200428	VirSorter
Gammaproteobacteria_gi_452314560	26200428.fasta	886890	Acinetobacter baumannii 4190			26200428	VirSorter
Gammaproteobacteria_gi_452314573	26200428.fasta	886890	Acinetobacter baumannii 4190			26200428	VirSorter
Gammaproteobacteria_gi_452316241	26200428.fasta	886890	Acinetobacter baumannii 4190			26200428	VirSorter
Gammaproteobacteria_gi_481021876	26200428.fasta	1293574	Acinetobacter baumannii 48055			26200428	VirSorter
Gammaproteobacteria_gi_481021882	26200428.fasta	1293574	Acinetobacter baumannii 48055			26200428	VirSorter
Gammaproteobacteria_gi_481021883	26200428.fasta	1293574	Acinetobacter baumannii 48055			26200428	VirSorter
Gammaproteobacteria_gi_481021322	26200428.fasta	1216295	Acinetobacter baumannii 53264			26200428	VirSorter
Gammaproteobacteria_gi_481021411	26200428.fasta	1216295	Acinetobacter baumannii 53264			26200428	VirSorter
Gammaproteobacteria_gi_333069422	26200428.fasta	592014	Acinetobacter baumannii 6013113			26200428	VirSorter
Gammaproteobacteria_gi_333054691	26200428.fasta	525243	Acinetobacter baumannii 6013150			26200428	VirSorter
Gammaproteobacteria_gi_333069142_7230_43501	26200428.fasta	525243	Acinetobacter baumannii 6013150			26200428	VirSorter
Gammaproteobacteria_gi_333069149	26200428.fasta	525243	Acinetobacter baumannii 6013150			26200428	VirSorter
Gammaproteobacteria_gi_333069152	26200428.fasta	525243	Acinetobacter baumannii 6013150			26200428	VirSorter
Gammaproteobacteria_gi_333069176	26200428.fasta	525243	Acinetobacter baumannii 6013150			26200428	VirSorter
Gammaproteobacteria_gi_445493120	26200428.fasta	903937	Acinetobacter baumannii AA-014			26200428	VirSorter
Gammaproteobacteria_gi_452732682	26200428.fasta	1221244	Acinetobacter baumannii AB_1536-8			26200428	VirSorter
