Contigs id(VIRUS)	Host taxid	pmid	evidence
Clostridia_gi_223956448_2418564_2449606	483218	26200428	VirSorter
Alphaproteobacteria_gi_483831584	940282	26200428	VirSorter
Alphaproteobacteria_gi_483832087	940282	26200428	VirSorter
Alphaproteobacteria_gi_421853582	940265	26200428	VirSorter
Alphaproteobacteria_gi_329113603	945681	26200428	VirSorter
Alphaproteobacteria_gi_329115469	945681	26200428	VirSorter
Alphaproteobacteria_gi_547459329	1262684	26200428	VirSorter
Alphaproteobacteria_gi_339021592	749388	26200428	VirSorter
Alphaproteobacteria_gi_339021902	749388	26200428	VirSorter
Alphaproteobacteria_gi_339021999	749388	26200428	VirSorter
Alphaproteobacteria_gi_339022256	749388	26200428	VirSorter
Alphaproteobacteria_gi_339022435	749388	26200428	VirSorter
Alphaproteobacteria_gi_374088007	1054213	26200428	VirSorter
Mollicutes_gi_162446888_614609_648901	441768	26200428	VirSorter
Betaproteobacteria_gi_421483435	1156919	26200428	VirSorter
Betaproteobacteria_gi_421485108	1156919	26200428	VirSorter
Betaproteobacteria_gi_421486561	1156919	26200428	VirSorter
Negativicutes_gi_547818715	1263033	26200428	VirSorter
Betaproteobacteria_gi_120608714_2556822_2610901	397945	26200428	VirSorter
Betaproteobacteria_gi_120608714_2613045_2631508	397945	26200428	VirSorter
Betaproteobacteria_gi_241763567_0_44634	573060	26200428	VirSorter
Betaproteobacteria_gi_241764055_7507_15116	573060	26200428	VirSorter
Betaproteobacteria_gi_395009488_0_32631	1144317	26200428	VirSorter
Gammaproteobacteria_gi_544905836	1351817	26200428	VirSorter
Gammaproteobacteria_gi_384129960_1467048_1503647	696749	26200428	VirSorter
Gammaproteobacteria_gi_452305578	886889	26200428	VirSorter
Gammaproteobacteria_gi_452305893	886889	26200428	VirSorter
Gammaproteobacteria_gi_452305926	886889	26200428	VirSorter
Gammaproteobacteria_gi_452305980	886889	26200428	VirSorter
Gammaproteobacteria_gi_452306288	886889	26200428	VirSorter
Gammaproteobacteria_gi_452304327	886888	26200428	VirSorter
Gammaproteobacteria_gi_452304334	886888	26200428	VirSorter
Gammaproteobacteria_gi_452304370	886888	26200428	VirSorter
Gammaproteobacteria_gi_452304626	886888	26200428	VirSorter
Gammaproteobacteria_gi_452311496	886890	26200428	VirSorter
Gammaproteobacteria_gi_452311739	886890	26200428	VirSorter
Gammaproteobacteria_gi_452312103_0_28100	886890	26200428	VirSorter
Gammaproteobacteria_gi_452313998_2644_39699	886890	26200428	VirSorter
Gammaproteobacteria_gi_452314560	886890	26200428	VirSorter
Gammaproteobacteria_gi_452314573	886890	26200428	VirSorter
Gammaproteobacteria_gi_452316241	886890	26200428	VirSorter
Gammaproteobacteria_gi_481021876	1293574	26200428	VirSorter
Gammaproteobacteria_gi_481021882	1293574	26200428	VirSorter
Gammaproteobacteria_gi_481021883	1293574	26200428	VirSorter
Gammaproteobacteria_gi_481021322	1216295	26200428	VirSorter
Gammaproteobacteria_gi_481021411	1216295	26200428	VirSorter
Gammaproteobacteria_gi_333069422	592014	26200428	VirSorter
Gammaproteobacteria_gi_333054691	525243	26200428	VirSorter
Gammaproteobacteria_gi_333069142_7230_43501	525243	26200428	VirSorter
Gammaproteobacteria_gi_333069149	525243	26200428	VirSorter
Gammaproteobacteria_gi_333069152	525243	26200428	VirSorter
Gammaproteobacteria_gi_333069176	525243	26200428	VirSorter
Gammaproteobacteria_gi_445493120	903937	26200428	VirSorter
Gammaproteobacteria_gi_452732682	1221244	26200428	VirSorter
Gammaproteobacteria_gi_452732688_17311_51164	1221244	26200428	VirSorter
Gammaproteobacteria_gi_452732748	1221244	26200428	VirSorter
Gammaproteobacteria_gi_452732861	1221245	26200428	VirSorter
Gammaproteobacteria_gi_452732913	1221245	26200428	VirSorter
Gammaproteobacteria_gi_452732950	1221245	26200428	VirSorter
Gammaproteobacteria_gi_452733005	1221245	26200428	VirSorter
Gammaproteobacteria_gi_452733007	1221245	26200428	VirSorter
Gammaproteobacteria_gi_452733147	1221246	26200428	VirSorter
Gammaproteobacteria_gi_452733154	1221246	26200428	VirSorter
Gammaproteobacteria_gi_452733165	1221246	26200428	VirSorter
Gammaproteobacteria_gi_452733324	1221246	26200428	VirSorter
Gammaproteobacteria_gi_452733374	1221246	26200428	VirSorter
Gammaproteobacteria_gi_452733380	1221246	26200428	VirSorter
Gammaproteobacteria_gi_452733388	1221247	26200428	VirSorter
Gammaproteobacteria_gi_452733486_13328_70718	1221247	26200428	VirSorter
Gammaproteobacteria_gi_452733618	1221248	26200428	VirSorter
