Vrus taxid	Host tax id	pmid	Evidence
1118064	1428	22815791	Literature
1194641	1428		RefSeq
1357713	1428		RefSeq
1486657	1428		RefSeq
1527469	1428		RefSeq
1643324	1428		RefSeq
1643326	1428		RefSeq
1690456	1428	26472830	Literature
1837830	1428		RefSeq
1852564	1428		RefSeq
1873998	1428		RefSeq
1873999	1428		RefSeq
1874000	1428		RefSeq
1874001	1428		RefSeq
236750	1428		RefSeq
307240	1428		RefSeq
458639	1428		RefSeq
552525	1428		RefSeq
10876	2148		RefSeq
46014	2148	8163159	Literature
1416008	85698		RefSeq
1416009	85698		RefSeq
1589746	85698	24466294	Literature
1589747	85698	24466294	Literature
1589748	85698		RefSeq
1610509	85698	26908262	"Literature, RefSeq"
1664246	85698		RefSeq
1664247	85698		RefSeq
235266	563177		UniProt
1049283	470		RefSeq
1187128	470		RefSeq
1221835	470		RefSeq
1235824	470		RefSeq
1243183	470		RefSeq
1406779	470		RefSeq
1458669	470		RefSeq
1481186	470		RefSeq
1481187	470		RefSeq
1505225	470		RefSeq
1560342	470		RefSeq
1605379	470		RefSeq
1647373	470		RefSeq
1698439	470		RefSeq
1701807	470		RefSeq
1701808	470		RefSeq
1735582	470		RefSeq
1792222	470		RefSeq
691318	470		RefSeq
889876	470		RefSeq
279006	40214	21029436	Literature
760732	40214	21029436	Literature
760939	40214	21029436	Literature
1229760	487316		RefSeq
1204516	644		RefSeq
1505227	644		RefSeq
227470	644		RefSeq
1127514	645		RefSeq
115987	645		RefSeq
1198013	645		RefSeq
233894	645		RefSeq
260149	645	"16828113, 21029436"	"Literature, RefSeq"
321023	645		RefSeq
879628	645		RefSeq
879630	645		RefSeq
926067	645	21029436	Literature
230158	714		RefSeq
467481	192		RefSeq
1308863	1392		RefSeq
345922	1392		RefSeq
347966	1392		RefSeq
359961	1392		RefSeq
513550	1392		RefSeq
663237	1392		RefSeq
1118064	1396	22815791	Literature
1126949	1396		RefSeq
1126950	1396		RefSeq
1126951	1396		RefSeq
1129192	1396		RefSeq
1136534	1396		RefSeq
1136731	1396		RefSeq
1141133	1396		RefSeq
1161901	1396		RefSeq
1195072	1396		RefSeq
1277886	1396	24595561	Literature
1296655	1396	24459255	Literature
1296656	1396	24459255	Literature
1391188	1396		RefSeq
1643324	1396		RefSeq
1643326	1396		RefSeq
1690456	1396	26472830	Literature
1734382	1396	"25680445, 26941234"	"Literature, RefSeq"
1868599	1396		RefSeq
225725	1396		RefSeq
225726	1396		RefSeq
345922	1396		RefSeq
347962	1396		RefSeq
565140	1396	21994663	Literature
57477	1396		RefSeq
584892	1396		RefSeq
701257	1396		RefSeq
764595	1396		RefSeq
1084719	1404		RefSeq
1406786	1404		RefSeq
1406787	1404		RefSeq
1406789	1404		RefSeq
1406790	1404		RefSeq
1406792	1404		RefSeq
1540090	1404		RefSeq
1540091	1404		RefSeq
1540092	1404		RefSeq
1540093	1404		RefSeq
1597966	1404	25953175	"Literature, RefSeq"
1610832	1404	26251491	"Literature, RefSeq"
1610833	1404	26251490	"Literature, RefSeq"
1675598	1404	26337888	"Literature, RefSeq"
1755679	1404		RefSeq
1776293	1404		RefSeq
1204533	1408		RefSeq
1406782	1408		RefSeq
1406784	1408		RefSeq
1406788	1408		RefSeq
1445810	1408		RefSeq
1445811	1408		RefSeq
66797	1408		UniProt
10685	1423		"RefSeq, UniProt"
10717	1423		UniProt
10724	1423		UniProt
10753	1423		UniProt
10756	1423		"RefSeq, UniProt"
10757	1423		"RefSeq, UniProt"
10778	1423		"RefSeq, UniProt"
12345	1423		UniProt
1406783	1423		RefSeq
1406785	1423		RefSeq
1497851	1423		RefSeq
207656	1423		RefSeq
66797	1423		"RefSeq, UniProt"
941058	1423	21597187	Literature
1105171	817		RefSeq
99179	817		RefSeq
1035662	959		RefSeq
1127515	959		RefSeq
145579	959		"RefSeq, UniProt"
194699	518		"RefSeq, UniProt"
1296658	1465		RefSeq
1296659	1465		RefSeq
1296660	1465		RefSeq
1296661	1465		RefSeq
1296662	1465		RefSeq
1691954	1465	26494658	"Literature, RefSeq"
1691955	1465	26494658	"Literature, RefSeq"
1691958	1465	26494658	"Literature, RefSeq"
764561	2756		RefSeq
764562	2756		RefSeq
857312	2756		RefSeq
1308869	29459		RefSeq
1136535	292		RefSeq
209052	292		"RefSeq, UniProt"
242861	292		RefSeq
260373	292		RefSeq
279280	292		RefSeq
348137	292		RefSeq
437329	292		RefSeq
1235712	28450		RefSeq
1282994	28450		RefSeq
255131	28450		RefSeq
332032	28450		RefSeq
431891	28450		RefSeq
431892	28450		RefSeq
1110702	197		RefSeq
1541686	197		RefSeq
934027	197		RefSeq
990550	197		RefSeq
340054	138072		RefSeq
941969	34021		RefSeq
941970	34021		RefSeq
1204537	155892		RefSeq
1211640	155892		RefSeq
1211641	155892		RefSeq
1211642	155892		RefSeq
1211643	155892		RefSeq
1211644	155892		RefSeq
767473	155892		RefSeq
1327968	76594		RefSeq
1327969	76594		RefSeq
1327970	76594		RefSeq
1327971	76594		RefSeq
1327972	76594		RefSeq
1327973	76594		RefSeq
1327974	76594		RefSeq
1327975	76594		RefSeq
1327976	76594		RefSeq
1327979	76594		RefSeq
1327980	76594		RefSeq
1327981	76594		RefSeq
1327982	76594		RefSeq
1327983	76594		RefSeq
1327984	76594		RefSeq
1327985	76594		RefSeq
1327987	76594		RefSeq
1327990	76594		RefSeq
1327992	76594		RefSeq
1327993	76594		RefSeq
1327995	76594		RefSeq
1327997	76594		RefSeq
1328028	76594		RefSeq
1328029	76594		RefSeq
1328030	76594		RefSeq
756279	76594		RefSeq
756281	76594		RefSeq
105154	83554		RefSeq
10857	83554		"RefSeq, UniProt"
90963	83554		RefSeq
1527524	546	25593263	Literature
1540094	546		RefSeq
1540095	546		RefSeq
1540096	546		RefSeq
1610508	546		RefSeq
1673887	546		RefSeq
1675602	546	26430046	"Literature, RefSeq"
1675603	546		RefSeq
1805464	546		RefSeq
1805465	546		RefSeq
1805466	546		RefSeq
1805467	546		RefSeq
1406793	28447		RefSeq
1032362	1496		RefSeq
1204534	1496		RefSeq
1204535	1496		RefSeq
1411095	1496	24475037	Literature
1437363	1496		RefSeq
1582149	1496		RefSeq
1582150	1496		RefSeq
1582151	1496		RefSeq
1582152	1496		RefSeq
1582153	1496		RefSeq
1582154	1496		RefSeq
1582155	1496		RefSeq
1582156	1496		RefSeq
1582157	1496		RefSeq
262071	1496		RefSeq
320122	1496		"RefSeq, UniProt"
559189	1496		RefSeq
864178	1496		RefSeq
12336	1491		"RefSeq, UniProt"
1042122	1502		RefSeq
1042123	1502		RefSeq
1042124	1502		RefSeq
1128071	1502		RefSeq
1162304	1502		RefSeq
1162305	1502		RefSeq
1162306	1502		RefSeq
1187894	1502		RefSeq
1305708	1502		RefSeq
190478	1502		RefSeq
541865	1502		RefSeq
673376	1502		RefSeq
1567009	1513		RefSeq
1567010	1513		RefSeq
1567011	1513		RefSeq
1567012	1513		RefSeq
1567013	1513		RefSeq
1567015	1513		RefSeq
1567016	1513		RefSeq
871584	1519	20581196	Literature
384848	1718		RefSeq
1073754	28141		RefSeq
1073767	28141		RefSeq
1141135	28141		RefSeq
1141136	28141		RefSeq
1141137	28141		RefSeq
1141138	28141		RefSeq
1162290	28141		RefSeq
1162295	28141		RefSeq
1195085	28141		RefSeq
1264737	28141		RefSeq
1327934	28141		RefSeq
1327935	28141		RefSeq
1498011	28141		RefSeq
947842	28141		RefSeq
984175	28141		RefSeq
984186	28141		RefSeq
665032	80866		RefSeq
1091052	1089444		RefSeq
1477404	215813		RefSeq
1498169	215813		RefSeq
1325372	67780		RefSeq
1391659	67780		RefSeq
1608310	67780		RefSeq
945083	67780		RefSeq
1147139	550		RefSeq
1455074	550		RefSeq
1636313	550		RefSeq
1636314	550		RefSeq
1636315	550		RefSeq
942016	550		RefSeq
1073766	1351		RefSeq
1173135	1351		RefSeq
1204540	1351		RefSeq
1351735	1351		RefSeq
1416012	1351		RefSeq
1458851	1351		RefSeq
1486428	1351		RefSeq
1498168	1351		RefSeq
1597976	1351		RefSeq
1640885	1351		RefSeq
1747287	1351		RefSeq
1747288	1351		RefSeq
1747289	1351		RefSeq
1747326	1351		RefSeq
442493	1351		"RefSeq, UniProt"
627087	1351		RefSeq
663241	1351		RefSeq
673832	1351		RefSeq
673833	1351		RefSeq
673834	1351		RefSeq
673835	1351		RefSeq
673836	1351		RefSeq
673837	1351		RefSeq
673838	1351		RefSeq
673839	1351		RefSeq
767806	1351		RefSeq
947379	1351		RefSeq
1161939	1352		RefSeq
1445858	1352		RefSeq
1647400	1352		RefSeq
1718158	1352		RefSeq
1029988	552		RefSeq
1051673	552		RefSeq
1051674	552		RefSeq
1051675	552		RefSeq
1051676	552		RefSeq
1401669	552		RefSeq
1429767	552		RefSeq
1429768	552		RefSeq
1564096	552		RefSeq
1883370	552		RefSeq
1883371	552		RefSeq
1883372	552		RefSeq
1883373	552		RefSeq
1883374	552		RefSeq
1883377	552		RefSeq
1883379	552		RefSeq
418443	552		RefSeq
557393	552		RefSeq
925983	552	21097611	Literature
925986	552	21097611	Literature
947843	552		RefSeq
1675317	1648		RefSeq
103807	562		RefSeq
1052121	562		RefSeq
1054461	562	22341309	Literature
1054480	562		RefSeq
1054834	562		RefSeq
10658	562	4211861	Literature
10665	562		"RefSeq, UniProt"
10677	562		RefSeq
10678	562		RefSeq
10679	562		RefSeq
10682	562		UniProt
10693	562		UniProt
10710	562		"RefSeq, UniProt"
10713	562		"RefSeq, UniProt"
10726	562		"RefSeq, UniProt"
10742	562		UniProt
10752	562		"RefSeq, UniProt"
1075774	562		RefSeq
10759	562		"RefSeq, UniProt"
10760	562		"RefSeq, UniProt"
10843	562		"RefSeq, UniProt"
10847	562	"1265478, 17407380"	"Literature, RefSeq, UniProt"
10848	562		UniProt
10849	562		"RefSeq, UniProt"
10863	562		"RefSeq, UniProt"
10864	562		UniProt
10867	562		"RefSeq, UniProt"
10868	562		"RefSeq, UniProt"
10869	562		"RefSeq, UniProt"
10870	562		"RefSeq, UniProt"
1090133	562		RefSeq
1112008	562		RefSeq
1115653	562		RefSeq
1131317	562		RefSeq
1141139	562		RefSeq
1141140	562		RefSeq
1141141	562		RefSeq
1147142	562		RefSeq
1147143	562		RefSeq
1147144	562		RefSeq
1147145	562		RefSeq
1147146	562		RefSeq
1147147	562		RefSeq
1147148	562		RefSeq
1147149	562		RefSeq
1147150	562		RefSeq
1147151	562		RefSeq
1147152	562		RefSeq
1147153	562		RefSeq
1147154	562		RefSeq
1147155	562		RefSeq
1147156	562		RefSeq
1147157	562		RefSeq
1147158	562		RefSeq
12017	562		UniProt
